curr1;curr2;rate;;;;;
AED;AED;1;; ('AED', 'AED', 1),;;;INSERT INTO rates VALUES ('AED', 'AED', 1),
AED;AFN;20;; ('AED', 'AFN', 20),;;;('AED', 'AFN', 20),
AED;ALL;815;; ('AED', 'ALL', 815),;;;('AED', 'ALL', 815),
AED;AMD;826;; ('AED', 'AMD', 826),;;;('AED', 'AMD', 826),
AED;ANG;866;; ('AED', 'ANG', 866),;;;('AED', 'ANG', 866),
AED;AOA;939;; ('AED', 'AOA', 939),;;;('AED', 'AOA', 939),
AED;ARS;935;; ('AED', 'ARS', 935),;;;('AED', 'ARS', 935),
AED;AUD;396;; ('AED', 'AUD', 396),;;;('AED', 'AUD', 396),
AED;AWG;102;; ('AED', 'AWG', 102),;;;('AED', 'AWG', 102),
AED;AZN;602;; ('AED', 'AZN', 602),;;;('AED', 'AZN', 602),
AED;BAM;141;; ('AED', 'BAM', 141),;;;('AED', 'BAM', 141),
AED;BBD;993;; ('AED', 'BBD', 993),;;;('AED', 'BBD', 993),
AED;BDT;347;; ('AED', 'BDT', 347),;;;('AED', 'BDT', 347),
AED;BGN;648;; ('AED', 'BGN', 648),;;;('AED', 'BGN', 648),
AED;BHD;359;; ('AED', 'BHD', 359),;;;('AED', 'BHD', 359),
AED;BIF;271;; ('AED', 'BIF', 271),;;;('AED', 'BIF', 271),
AED;BMD;192;; ('AED', 'BMD', 192),;;;('AED', 'BMD', 192),
AED;BND;949;; ('AED', 'BND', 949),;;;('AED', 'BND', 949),
AED;BOB;219;; ('AED', 'BOB', 219),;;;('AED', 'BOB', 219),
AED;BOV;28;; ('AED', 'BOV', 28),;;;('AED', 'BOV', 28),
AED;BRL;45;; ('AED', 'BRL', 45),;;;('AED', 'BRL', 45),
AED;BSD;99;; ('AED', 'BSD', 99),;;;('AED', 'BSD', 99),
AED;BTN;384;; ('AED', 'BTN', 384),;;;('AED', 'BTN', 384),
AED;BWP;382;; ('AED', 'BWP', 382),;;;('AED', 'BWP', 382),
AED;BYN;702;; ('AED', 'BYN', 702),;;;('AED', 'BYN', 702),
AED;BZD;831;; ('AED', 'BZD', 831),;;;('AED', 'BZD', 831),
AED;CAD;160;; ('AED', 'CAD', 160),;;;('AED', 'CAD', 160),
AED;CDF;190;; ('AED', 'CDF', 190),;;;('AED', 'CDF', 190),
AED;CHE;554;; ('AED', 'CHE', 554),;;;('AED', 'CHE', 554),
AED;CHF;317;; ('AED', 'CHF', 317),;;;('AED', 'CHF', 317),
AED;CHW;186;; ('AED', 'CHW', 186),;;;('AED', 'CHW', 186),
AED;CLF;275;; ('AED', 'CLF', 275),;;;('AED', 'CLF', 275),
AED;CLP;369;; ('AED', 'CLP', 369),;;;('AED', 'CLP', 369),
AED;COP;848;; ('AED', 'COP', 848),;;;('AED', 'COP', 848),
AED;COU;514;; ('AED', 'COU', 514),;;;('AED', 'COU', 514),
AED;CRC;418;; ('AED', 'CRC', 418),;;;('AED', 'CRC', 418),
AED;CUP;160;; ('AED', 'CUP', 160),;;;('AED', 'CUP', 160),
AED;CVE;693;; ('AED', 'CVE', 693),;;;('AED', 'CVE', 693),
AED;CZK;204;; ('AED', 'CZK', 204),;;;('AED', 'CZK', 204),
AED;DJF;608;; ('AED', 'DJF', 608),;;;('AED', 'DJF', 608),
AED;DKK;522;; ('AED', 'DKK', 522),;;;('AED', 'DKK', 522),
AED;DOP;731;; ('AED', 'DOP', 731),;;;('AED', 'DOP', 731),
AED;DZD;174;; ('AED', 'DZD', 174),;;;('AED', 'DZD', 174),
AED;EGP;290;; ('AED', 'EGP', 290),;;;('AED', 'EGP', 290),
AED;ERN;285;; ('AED', 'ERN', 285),;;;('AED', 'ERN', 285),
AED;ETB;516;; ('AED', 'ETB', 516),;;;('AED', 'ETB', 516),
AED;EUR;321;; ('AED', 'EUR', 321),;;;('AED', 'EUR', 321),
AED;FJD;922;; ('AED', 'FJD', 922),;;;('AED', 'FJD', 922),
AED;FKP;702;; ('AED', 'FKP', 702),;;;('AED', 'FKP', 702),
AED;GBP;641;; ('AED', 'GBP', 641),;;;('AED', 'GBP', 641),
AED;GEL;47;; ('AED', 'GEL', 47),;;;('AED', 'GEL', 47),
AED;GHS;878;; ('AED', 'GHS', 878),;;;('AED', 'GHS', 878),
AED;GIP;755;; ('AED', 'GIP', 755),;;;('AED', 'GIP', 755),
AED;GMD;30;; ('AED', 'GMD', 30),;;;('AED', 'GMD', 30),
AED;GNF;728;; ('AED', 'GNF', 728),;;;('AED', 'GNF', 728),
AED;GTQ;257;; ('AED', 'GTQ', 257),;;;('AED', 'GTQ', 257),
AED;GYD;546;; ('AED', 'GYD', 546),;;;('AED', 'GYD', 546),
AED;HKD;223;; ('AED', 'HKD', 223),;;;('AED', 'HKD', 223),
AED;HNL;141;; ('AED', 'HNL', 141),;;;('AED', 'HNL', 141),
AED;HTG;827;; ('AED', 'HTG', 827),;;;('AED', 'HTG', 827),
AED;HUF;385;; ('AED', 'HUF', 385),;;;('AED', 'HUF', 385),
AED;IDR;246;; ('AED', 'IDR', 246),;;;('AED', 'IDR', 246),
AED;ILS;843;; ('AED', 'ILS', 843),;;;('AED', 'ILS', 843),
AED;INR;242;; ('AED', 'INR', 242),;;;('AED', 'INR', 242),
AED;IQD;958;; ('AED', 'IQD', 958),;;;('AED', 'IQD', 958),
AED;IRR;380;; ('AED', 'IRR', 380),;;;('AED', 'IRR', 380),
AED;ISK;527;; ('AED', 'ISK', 527),;;;('AED', 'ISK', 527),
AED;JMD;522;; ('AED', 'JMD', 522),;;;('AED', 'JMD', 522),
AED;JOD;950;; ('AED', 'JOD', 950),;;;('AED', 'JOD', 950),
AED;JPY;323;; ('AED', 'JPY', 323),;;;('AED', 'JPY', 323),
AED;KES;125;; ('AED', 'KES', 125),;;;('AED', 'KES', 125),
AED;KGS;108;; ('AED', 'KGS', 108),;;;('AED', 'KGS', 108),
AED;KHR;44;; ('AED', 'KHR', 44),;;;('AED', 'KHR', 44),
